category,generic_item,exact_name
Meat & Poultry,Lamb Shoulder Chops,4 x lamb shoulder chops
Meat & Poultry,Mince,1kg mince
Meat & Poultry,Pork,Pork
Meat & Poultry,Pork,Leftover pork (from p. 26) – about 500 g
Meat & Poultry,Pork Mince,500g pork mince
Meat & Poultry,Pork Mince,500g pork mince
Meat & Poultry,Pork Mince,1kg pork mince
Meat & Poultry,Pork Shoulder,"2.5 kg pork shoulder, boned (not rolled), skin scored"
Meat & Poultry,Sausages,Sausies
Pantry,Artichokes,Artichokes
Pantry,Bay Leaves,5 bay leaves
Pantry,Chia Seeds,Chia seeds
Pantry,Chia Seeds,Chia
Pantry,Chicken Stock,Chicken stock
Pantry,Chilli Flakes,1 tsp dried chilli flakes
Pantry,Coconut Milk,Coconut milk
Pantry,Curry,Curry
Pantry,Flour,50 g flour
Pantry,Gherkins,Gherkins
Pantry,Jam,Jam
Pantry,Lentils,Lentils
Pantry,Lentils,Lentils
Pantry,Lentils,Lentils
Pantry,Miso Soup,Miso soup
Pantry,Mustard Powder,Mustard powder
Pantry,Noodles,Noodles
Pantry,Nutmeg,1 tsp freshly grated nutmeg
Pantry,Olive Oil,Olive oil
Pantry,Olive Oil,Extra-virgin olive oil
Pantry,Olives,Olives
Pantry,Oregano,½ tsp dried oregano
Pantry,Paprika,Paprika
Pantry,Paprika,Paprika
Pantry,Passata,Pasatta
Pantry,Passata,Pasatta x 2
Pantry,Pasta,Spaghetti
Pantry,Pasta,Fettuccini
Pantry,Pasta,12 sheets dried lasagne
Pantry,Peanut Butter,Pb
Pantry,Pickles,Pickles
Pantry,Quinoa,Quinoa
Pantry,Salt and Pepper,Salt and pepper
Pantry,Salt and Pepper,Salt and pepper
Pantry,Seasoning,Seasoning
Pantry,Soup,Soups x 2
Pantry,Sun-Dried Tomatoes,Sun-dried toms
Pantry,Sweetener,Sweetner
Pantry,Taco Kit,Taco kit
Pantry,Thyme,Thyme
Pantry,Tomato Paste,Tomato paste
Pantry,Tomato Sauce,Half the leftover tomato sauce (from p. 27) – about 300 g
Personal Care,Toothpaste,Adult toothpaste
Personal Care,Worming Tablets,Vermox
Pet Food,Cat Food,Cat food
Pet Food,Dog Roll,Dog roll
Produce,Apple,Apples
Produce,Avocado,Avos x 2
Produce,Banana,Bananas
Produce,Broccoli,Broc
Produce,Broccoli,Broc
Produce,Broccoli,1 head broccoli
Produce,Cabbage,Cabbage
Produce,Capsicum,Capsicum
Produce,Carrot,Carrots
Produce,Carrot,Carrots
Produce,Carrot,Carrot
Produce,Carrot,Carrots
Produce,Carrot,Carrots
Produce,Carrot,Carrot
Produce,Cauliflower,Cauliflower
Produce,Cauliflower,Cauli
Produce,Cauliflower,Cauliflower
Produce,Cherry Tomato,Baby Toms
Produce,Courgette,Courgette
Produce,Garlic,Garlic
Produce,Garlic,Garlic
Produce,Garlic,Garlic
Produce,Garlic,Garlic
Produce,Garlic,Garlic
Produce,Garlic,"6 garlic cloves, peeled and smashed"
Produce,Kumara,1 x purple Kumara
Produce,Lettuce,Lettuce
Produce,Lettuce,Lettuce
Produce,Mixed Fruit,Seasonal fruit
Produce,Mixed Vegetables,"Veg for rice, pie, or tomato pasta"
Produce,Onion,Onions
Produce,Onion,Onion
Produce,Onion,Onion
Produce,Onion,Onion
Produce,Onion,Onions
Produce,Onion,"2 onions, peeled and diced"
Produce,Orange,Oranges
Produce,Potato,Potatoes
Produce,Potato,Potatoes
Produce,Potato,Potatoes
Produce,Potato,Potatoes
Produce,Potato,Potatoes
Produce,Potato,Potatoes
Produce,Rosemary,"4 branches rosemary, leaves stripped (stalks optional for stock)"
Produce,Tomato,Big Toms
Seafood,Salmon,Salmon
Snacks,Cassava Chips,Cassava chips
Snacks,Corn Chips,Nachos
Snacks,Corn Thins,Corn thins
Snacks,Pecans,Pecans
Snacks,Popcorn,Popcorn
Snacks,Snack Bars,Bars
Snacks,Snack Bars (Vegan),Bars V
