category,generic_item,exact_name
Bakery,Pizza Base,Venerdi Gltn Freedom Crispy Pizza Bases
Bakery,Buns,Gerry's High Protein Buns 4 pack
Bakery,Bread,Freyas Bread Soy/linseed 750gm
Personal Care,Cosmetic Pads,Swissers Pads Make Up 80pk
Household,Gloves,Chux Extra Comfort Gloves Medium 1pr
Personal Care,Shampoo,Aveeno Apple Cider Vinegar Shampoo 354ml
Meat & Poultry,Whole Chicken,Macro Free Range Chicken Whole
Deli,Sliced Ham,WW Champagne Ham Sliced Prepacked
Produce,Feijoa,Feijoa Loose Medium
Produce,Orange,Orange Navel
Produce,Banana,Banana Cavendish
Dairy Alternative,Soy Milk,Macro Organic Soy Milk 1L
Canned Goods,Tomatoes,Essentials Tomatoes Diced 400g
Condiments & Sauces,Mayonnaise,Heinz Original Mayonnaise 500ml
Canned Goods,Tomatoes,Essentials Whole Peeled Tomatoes 400g
Canned Goods,Chickpeas,WW Chickpeas NAS 420g
Pantry,Nut Butter,Forty Thieves SuperFood Choc 500gm
Pantry,Peanut Butter,Fix & Fogg PB Smooth Dbl Trouble 750g
Dairy,Yoghurt,De Winkel Plain Unsweet 1kg
Dairy,Milk,LRC Jersey Milk Non Homogenised 1.5L
Dairy,Butter,Anchor Zero Lacta 500g
Dairy Alternative,Yoghurt,Plant Culture Yoghurt Vanilla 400g
Dairy,Yoghurt,Chobani Yoghurt Vanilla P/Lime 160g
Dairy,Yoghurt,Chobani Greek Yogurt Pot P'fruit 160g
Deli,Dip,Lisas Dip Hummus Capsicum 200g
Pantry,Ready Meal,Naked Kitchen Mexican Black Bean 500g
Canned Goods,Chilli Beans,Watties Mild Chilli Beans 420gm
Pantry,Tomato Paste,Essentials Tomato Paste 170g
Canned Goods,Tuna,WW Tuna Tomato & Basil 95g
Pet Food,Dog Food,Butch White Label 2kg
Meat & Poultry,Pork,WW Free Farmed NZ Pork Rump Steak
Meat & Poultry,Chicken Breast,WW Chicken Breast Bl/Sl Small
Meat & Poultry,Pork,WW Free Farmed NZ Pork Rump Steak
Meat & Poultry,Chicken (Ready-to-cook),Rangitikei Korean Style Chicken 400g
Meat & Poultry,Sausages,Hellers Venison Sausage 6pk
Meat & Poultry,Sausages,WW Pork & Fennel Sausages 450g 6pk
Deli,Chorizo,Beehive Chorizo Sticks 150g
Deli,Bacon,WW Bacon Streaky Honey 250g
Deli,Salami,Verkerks Danish Salami 100g
Frozen,Ice Cream,T Top Trumpet Vegan GF Chocolate 4pk
Frozen,Plant-Based Meat,Bakers Son Vegan Buttery Chicken 200g
Produce,Carrot,Carrot Cd 1.5kg
Produce,Potato,Potato Vivaldi Gold 2kg
Produce,Cauliflower,Cauliflower Whole
Produce,Cabbage,Cabbage Savoy Whole
Produce,Broccoli,Broccoli Each
Produce,Apple,Apple Ambrosia 1.5kg P/P
Dairy,Eggs,Macro Free Range MixedGrade Eggs 12pk
Bakery,Bread,Freyas Bread Soy/linseed 750gm
Bakery,Pizza Base,Turkish Pizza Bases 450g
Bakery,Pizza Base,Giannis Gluten Free Pizza Bases 2pk
Bakery,Wraps,Farrahs Wraps Spinach 450gm
Cereals & Breakfast,Granola,Orchard Valley Almd Cashew Granola 300g
Cereals & Breakfast,Granola,Orchard Valley Rasp Crnbry Granola 300g
Household,Facial Tissues,Kleenex Everyday 2Ply Facial Tiss 200s
Household,Aluminium Foil,Essentials Alum Foil Embossed 10mx30cm
Household,Baking Paper,Armada Baking Paper 50m
Household,Tape,Sellotape Economy Parcel Tape 48mm
Household,Tape,Paperclick Clear Tape 3pk
Personal Care,Deodorant,Mitchum Roll On Womens Unscented
Personal Care,Deodorant,Mitchum Men's RO Unscented AP Deo 50ml
Pantry,Instant Noodles,Indomie Mi Goreng BBQ Chicken 65g x 5pk
Pantry,Seeds,Macro Chia Seeds Black 350g
Beverages,Coffee Beans,Hummingbird H/Select Beans 200g
Snacks,Oaty Slice,M/earth Oaty Slice Anzac 240g
Snacks,Protein Bars,N&N Protn Nut Bars Dark Choc Cacao 5Pk
Snacks,Corn Thins,RF Corn Thins Sour Cream & Chive 125g
Snacks,Popcorn,Pop N Good Popping Corn 500gm
Bakery,Buns,Gerry's High Protein Buns 4 pack
Confectionery,Chocolate,Whittakers Blk B/sweet Dark 250g
Pantry,Stock Cubes,Massel Chicken Style S/R Stk Cubes 105g
Snacks,Corn Chips,Mexicano Sea Salt & Lime Corn Chips 170g
Snacks,Chips,Snackachangi Chips Prawn Cocktail 150g
Deli,Sliced Ham,WW Champagne Ham Sliced Prepacked
Produce,Apple,Apple Ambrosia
Produce,Orange,Orange Navel
Produce,Brussels Sprouts,Brussels Sprouts
Produce,Banana,Banana Cavendish
Produce,Dried Fruit,Apricot Turkish
Bakery,Hot Cross Buns,WW Traditional Hot Cross buns 6pk
Household,Toilet Tissue,Paseo 3 Ply T/tissue 24pk Value
Household,Drain Cleaner,Drano Bathroom Wax Gel 1.2L
Personal Care,Hand Wash,Palmolive Cherry Blossom Foam Refill 1L
Personal Care,Deodorant,Dove Wmn Adv 72H Pomegr Deo RO 50ml
Personal Care,Deodorant,Mitchum Roll On Womens Unscented
Household,Paper Towels,Strike Paper Towel Double Length 2pk
Personal Care,Deodorant,Mitchum Men's RO Unscented AP Deo 50ml
Dairy Alternative,Soy Milk,Macro Organic Soy Milk 1L
Dairy,Yoghurt,De Winkel Plain Unsweet 1kg
Dairy,Milk,LRC Jersey Milk Non Homogenised 1.5L
Beverages,Cordial,Oh Bubbles Eldrflur Conc Syrup 500ml
Beverages,Soda Syrup,7 Up Free Sodastream 440ml
Canned Goods,Chilli Beans,Watties Mild Chilli Beans 420gm
Canned Goods,Tomatoes,Essentials Tomatoes Diced 400g
Pantry,Tomato Paste,Essentials Tomato Paste 170g
Pantry,Coconut Milk,Ayam 100% Natural Coconut Milk 270ml
Dairy Alternative,Soy Cream,Alpro Soy Cream Regular 250ml
Dairy,Butter,Anchor Zero Lacta 500g
Frozen,Frozen Vegetables,Mccain Corn Kernels Super Juicy 1kg
Frozen,Frozen Vegetables,WW Frozen Peas 1kg
Meat & Poultry,Chicken (Ready-to-cook),Rangitikei Korean Style Chicken 400g
Dairy,Cheese,Puhoi Cheese Double Cream 220g
Dairy,Yoghurt,Chobani Greek Yogurt Pot Strawberry 160g
Pet Food,Dog Food,Butch White Label 2kg
Frozen,Plant-Based Meat,Bakers Son Vegan Buttery Chicken 200g
Deli,Chorizo,Beehive Chorizo Sticks 150g
Deli,Salami,Verkerks Danish Salami 300g
Seafood,Salmon,Ocean Blue Salmon Cooking Pieces 125g
Meat & Poultry,Lamb,WW Lamb Gourmet Hind Shanks
Meat & Poultry,Lamb,WW Lamb Gourmet Hind Shanks
Meat & Poultry,Pork,WW Free Farmed Pork Fillet Whole
Meat & Poultry,Pork,WW Free Farmed Pork Fillet Whole
Meat & Poultry,Pork,WW Free Farmed Pork Fillet Whole
Meat & Poultry,Chicken Breast,WW Chicken Breast Bl/Sl Small
Pantry,Soup,Naked Kitchen Soup Rich Tomato 500g
Produce,Potato,Potato Vivaldi Gold 2kg
Produce,Cauliflower,Cauliflower Half
Produce,Cabbage,Cabbage Green Whole
Produce,Cucumber,Cucumber Telegraph
Produce,Broccoli,Broccoli Each
Produce,Avocado,Avocado Hass
Beverages,Beer,Peroni 0Percent Bottles 12Pack 330ml
Produce,Mushrooms,WW Mushrooms Swiss Brown 400g
Produce,Lettuce,Lettuce Butter
Pantry,Rice,SunRice Brown Medium Grain Rice 2kg
Cereals & Breakfast,Granola,Orchard Valley Rasp Crnbry Granola 300g
Cereals & Breakfast,Granola,Orchard Valley Almd Cashew Granola 300g
Pantry,Instant Noodles,IndoMie BBQ Chicken Instant Noodles 10pk
Bakery,Pizza Base,Turkish Pizza Bases 450g
Bakery,Pizza Base,Home St Sprouted Pizza Bases GF 2pk
Dairy,Eggs,Macro Free Range MixedGrade Eggs 12pk
Confectionery,Chocolate,Lindt Lindor Mini Eggs Asstd 300g
Pantry,Seeds,Cd Sunflwrseed 300g Prdct Of Argentina
Pantry,Dried Fruit,Ocean Spray Craisns Original 150g
Pantry,Nuts,Macro CB Pecans 70g
Confectionery,Chocolate,Lindt Gold Bunny Dark Choc 200g
Confectionery,Chewing Gum,Mentos Cube Gum Fresh Mint 46g
Confectionery,Chewing Gum,Mentos Pure Gum Spearmint 68g
Snacks,Corn Chips,Mexicano Sea Salt & Lime Corn Chips 170g
Snacks,Corn Chips,Mexicano Corn Chips Tasty Salsa 170g
Bakery,Bread,Gerrys Super Bread 570g
Bakery,Bread,Freyas Bread Soy/linseed 750gm
Snacks,Vegetable Crisps,WW Vege Crisps SC & Chives 150g
